Title,Type,Series,Publisher,Year,ISSN,ISBN,DOI,Affiliation
Book Reviews,journal-article,Psychology of Music,SAGE Publications,2007,0305-7356,,https://doi.org/10.1177/0305735692202007,"Conrad Grebel College, University of Waterloo, Canada"
Commentary,journal-article,Psychology of Music,SAGE Publications,2007,0305-7356,,https://doi.org/10.1177/0305735696242004,"Conrad Grebel College, University of Waterloo, Canada."
Book Reviews,journal-article,Psychology of Music,SAGE Publications,2007,0305-7356,,https://doi.org/10.1177/0305735691192009,"Conrad Grebel College, University of Waterloo, Canada"
Book Reviews,journal-article,Psychology of Music,SAGE Publications,2007,0305-7356,,https://doi.org/10.1177/0305735691191007,"Conrad Grebel College University of Waterloo, Canada"
Book Reviews,journal-article,Psychology of Music,SAGE Publications,2007,0305-7356,,https://doi.org/10.1177/0305735690182007,"Conrad Grebel College University of Waterloo, Canada"
Book Review,journal-article,Psychology of Music,SAGE Publications,2007,0305-7356,,https://doi.org/10.1177/0305735690181008,"Conrad Grebel College, University of Waterloo, Canada"
Book Reviews,journal-article,Psychology of Music,SAGE Publications,2007,0305-7356,,https://doi.org/10.1177/0305735689172006,"Conrad Grebel College University of Waterloo, Canada"
Validating Objective Versus Subjective Judgments,journal-article,Personality and Social Psychology Bulletin,SAGE Publications,2007,0146-1672,,https://doi.org/10.1177/0146167283093013,University of Waterloo
Justice Rules or Ingroup Loyalties,journal-article,Personality and Social Psychology Bulletin,SAGE Publications,2007,0146-1672,,https://doi.org/10.1177/014616728174029,University of Waterloo
Defensive Verbal Behavior Assessment,journal-article,Personality and Social Psychology Bulletin,SAGE Publications,2007,0146-1672,,https://doi.org/10.1177/0146167202289007,University of Waterloo
Environmental Adaptation by Persons in their Later Life,journal-article,Research on Aging,SAGE Publications,2007,0164-0275,,https://doi.org/10.1177/0164027589113001,University of Waterloo
Developments in the Field of Close Relationships,journal-article,Personality and Social Psychology Bulletin,SAGE Publications,2007,0146-1672,,https://doi.org/10.1177/0146167290161003,University of Waterloo
Sensitivity of Intrinsic Motivation to Reward Procedure Instructions,journal-article,Personality and Social Psychology Bulletin,SAGE Publications,2007,0146-1672,,https://doi.org/10.1177/0146167284103011,University of Waterloo
Efficacy for Interdependent Role Functions,journal-article,Small Group Research,SAGE Publications,2007,1046-4964,,https://doi.org/10.1177/1046496402238619,University of Waterloo
Are Wives' Memories for Events in Relationships more Vivid than their Husbands' Memories?,journal-article,Journal of Social and Personal Relationships,SAGE Publications,2007,0265-4075,,https://doi.org/10.1177/0265407592094007,University of Waterloo
"Dialogue, Difference and Voice in the Zone of Proximal Development",journal-article,Theory & Psychology,SAGE Publications,2007,0959-3543,,https://doi.org/10.1177/0959354399091001,University of Waterloo
Who's the Boss? Parents' Failed Attempts to Influence the Outcomes of Conflicts between their Children,journal-article,Journal of Social and Personal Relationships,SAGE Publications,2007,0265-4075,,https://doi.org/10.1177/0265407597144003,"University of Waterloo, Canada,"
"Dr. Ellis, Please Stand Up",journal-article,The Counseling Psychologist,SAGE Publications,2007,0011-0000,,https://doi.org/10.1177/001100007700700103,University of Waterloo
Composition in Canadian Universities,journal-article,Written Communication,SAGE Publications,2007,0741-0883,,https://doi.org/10.1177/0741088393010001003,University of Waterloo
Parallogic: as Mind Meets Context,journal-article,Diogenes,SAGE Publications,2007,0392-1921,,https://doi.org/10.1177/039219218903714704,University of Waterloo
Some Methodological Procedures for the Evaluation of Educational Programs for Prevention of Adolescent Alcohol Use and Abuse,journal-article,Evaluation Quarterly,SAGE Publications,2007,0145-4692,,https://doi.org/10.1177/0193841x7700100409,University of Waterloo
Mechanical Properties of Chromium Carbide Coated Graphite Fibers,journal-article,Journal of Composite Materials,SAGE Publications,2007,0021-9983,,https://doi.org/10.1177/002199838001400112,"Department of Mechanical Engineering University of Waterloo Waterloo, Ontario, Canada, N2L 3G1"
Using the Analysis of Options technique to analyze a community conflict,journal-article,Journal of Conflict Resolution,SAGE Publications,2007,0022-0027,,https://doi.org/10.1177/002200277101500202,"Department of Systems Design, University of Waterloo"
Experience as a factor in experimental gaming behavior,journal-article,Journal of Conflict Resolution,SAGE Publications,2007,0022-0027,,https://doi.org/10.1177/002200277001400205,"Department of Management Sciences, University of Waterloo (Ontario)"
Graphite Fiber Reinforced Sn-Pb Investment Castings,journal-article,Journal of Composite Materials,SAGE Publications,2007,0021-9983,,https://doi.org/10.1177/002199837701100105,"University of Waterloo Mechanical Engineering Department Waterloo, Ontario, Canada, N2L 3G1"
"Book Reviews : Sport in the Sociocultural Process (3rd ed.) by Marie Hart and Susan Birrell. Dubuque, IA.: Wm. C. Brown, 1981. Paper, 721 pp. No price given",journal-article,Journal of Sport and Social Issues,SAGE Publications,2007,0193-7235,,https://doi.org/10.1177/019372358200600105,University of Waterloo
Tensile Properties of Portland Cement Reinforced with Kevlar Fibers,journal-article,Journal of Reinforced Plastics and Composites,SAGE Publications,2007,0731-6844,,https://doi.org/10.1177/073168448200100407,"University of Waterloo, Mechanical Engineering Department, Waterloo, Ontario. N2L 3G1"
Johann Michael Von Loen's Ideal City,journal-article,Journal of Urban History,SAGE Publications,2007,0096-1442,,https://doi.org/10.1177/009614427900600103,University of Waterloo
The Place of Small Group Process in Planning Education,journal-article,Journal of Planning Education and Research,SAGE Publications,2007,0739-456X,,https://doi.org/10.1177/0739456x8600500206,University of Waterloo
"Book Reviews : The Concept of Social Change, A Critique of the Functionalist Theory of Social Change. By ANTHONY D. SMITH. London and Boston: Routledge & Kegan Paul, I973. Pp. ix+I98. $6.25 (paper)",journal-article,Philosophy of the Social Sciences,SAGE Publications,2007,0048-3931,,https://doi.org/10.1177/004839317500500208,University of Waterloo
"Books in Review : TAKING RIGHTS SERIOUSLY by Ronald Dworkin. Cambridge, MA: Harvard University Press, 1977. Pp. xv, 293.",journal-article,Political Theory,SAGE Publications,2007,0090-5917,,https://doi.org/10.1177/009059177800600110,University of Waterloo
"Books in Review : REASON AND MORALITY by Alan Gewirth. Chicago: University of Chicago Press, 1978. Pp. 393. $20.00 hardcover.",journal-article,Political Theory,SAGE Publications,2007,0090-5917,,https://doi.org/10.1177/009059177900700312,University of Waterloo
"Book Reviews : H. Tristram Engelhardt, Jr., and Arthur L. Caplan, eds., Scientific Controversies. Cambridge University Press, London, 1987. Pp. x, 639, US$59.50 (cloth), US$19.95 (paper",journal-article,Philosophy of the Social Sciences,SAGE Publications,2007,0048-3931,,https://doi.org/10.1177/004839319202200214,University of Waterloo
Individual Training Styles,journal-article,Small Group Behavior,SAGE Publications,2007,0090-5526,,https://doi.org/10.1177/104649647600700202,University of Waterloo
One-Session Meetings,journal-article,Small Group Behavior,SAGE Publications,2007,0090-5526,,https://doi.org/10.1177/104649648301400406,University of Waterloo
Polydisciplinary Groups in the Human Services,journal-article,Small Group Behavior,SAGE Publications,2007,0090-5526,,https://doi.org/10.1177/104649648902000205,University of Waterloo
Imaging the Organization: Language Use in Organizational Identity Claims,journal-article,Journal of Business and Technical Communication,SAGE Publications,2007,1050-6519,,https://doi.org/10.1177/1050651906297167,"University of Waterloo, Waterloo, Canada"
Use of the Log Odds Ratio to Assess the Reliability of Dichotomous Questionnaire Data,journal-article,Applied Psychological Measurement,SAGE Publications,2007,0146-6216,,https://doi.org/10.1177/014662168701100308,"University of Waterloo, Canada"
A Rhetorical Analysis of the Self in an Organization: the Production and Reception of Discourse in a Bank,journal-article,Business Communication Quarterly,SAGE Publications,2007,1080-5699,,https://doi.org/10.1177/108056999906200217,"University of Waterloo, Ontario, Canada"
"Under Construction: A ""PR"" Department for Private Citizens",journal-article,Business Communication Quarterly,SAGE Publications,2007,1080-5699,,https://doi.org/10.1177/108056999906200214,"University of Waterloo, Ontario, Canada"
India and China : Overview and Premises,journal-article,China Report,SAGE Publications,2007,0009-4455,,https://doi.org/10.1177/000944557300900205,"University of Waterloo, Ontario (Canada)"
'Maybe my daddy give me a big piano': the development of children's use of modals to express uncertainty,journal-article,First Language,SAGE Publications,2007,0142-7237,,https://doi.org/10.1177/014272370002005802,University of Waterloo
Adults' attributions of intentionality to vocalizing infants,journal-article,First Language,SAGE Publications,2007,0142-7237,,https://doi.org/10.1177/014272379301303805,University of Waterloo
The information age,journal-article,Information Development,SAGE Publications,2007,0266-6669,,https://doi.org/10.1177/026666699100700202,"Department of Management Studies, University of Waterloo,Canada"
Some Evidence on The Existence of a Sexual Double Standard in Mobility to Leadership Positions in Sport,journal-article,International Review for the Sociology of Sport,SAGE Publications,2007,1012-6902,,https://doi.org/10.1177/101269028401900207,"University of Waterloo, Departments of Kinesiology and Sociology, Waterloo, Ontario, Canada N2L 3G1"
Sport and Physical Activity and Subjective Well Being: National Panel Data for the U.S,journal-article,International Review for the Sociology of Sport,SAGE Publications,2007,1012-6902,,https://doi.org/10.1177/101269029302800404,University of Waterloo
A Content Analysis of the Coverage of Physical Activity in Two Canadian Newspapers,journal-article,International Review for the Sociology of Sport,SAGE Publications,2007,1012-6902,,https://doi.org/10.1177/101269028602100206,"University of Waterloo, Waterloo, Ontario, Canada, N2L 3G 1"
Participation in Competitive Sport Among Anglophones and Francophones in Canada: Testing Competing Hypotheses,journal-article,International Review for the Sociology of Sport,SAGE Publications,2007,1012-6902,,https://doi.org/10.1177/101269029002500203,"Departments of Sociology and Kinesiology, University of Waterloo, Waterloo, Ontario, N2L3G1"
Office automation: a conceptual approach,journal-article,Journal of Information Science,SAGE Publications,2007,0165-5515,,https://doi.org/10.1177/016555158200500502,"Department of Management Sciences. University of Waterloo, Waterloo, Ontario. Canada N2L 3G1"
Nonlinear Controller Design for Asymmetric Actuators,journal-article,Journal of Vibration and Control,SAGE Publications,2007,1077-5463,,https://doi.org/10.1177/107754630000600607,"Department of Mechanical Engineering, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Development of Mathematical Model of a Plate for Active Vibration Suppression,journal-article,Journal of Vibration and Control,SAGE Publications,2007,1077-5463,,https://doi.org/10.1177/107754639900500202,"Mechanical Engineering and Systems Design Engineering, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1"
Going Global In Vancouver: The PATA '90 Conference,journal-article,Journal of Travel Research,SAGE Publications,2007,0047-2875,,https://doi.org/10.1177/004728759002900211,Department of Recreation and Leisure Studies at University of Waterloo
Standard Semi-Rigid PU Foam Specimens-Size Effect on Compression Response,journal-article,Journal of Cellular Plastics,SAGE Publications,2007,0021-955X,,https://doi.org/10.1177/0021955x9403000102,"University of Waterloo Department of Civil Engineering 200 University Ave. W. Waterloo, Ontario N2L 3G1 Canada"
Nth Powers of the Future,journal-article,The ANNALS of the American Academy of Political and Social Science,SAGE Publications,2007,0002-7162,,https://doi.org/10.1177/000271627743000110,"University of Waterloo, Ontario, Canada"
Pavement surface friction and noise: integration into the pavement management system,journal-article,Canadian Journal of Civil Engineering,Canadian Science Publishing,2010,0315-1468,,https://doi.org/10.1139/l10-076,"Department of Civil and Environmental Engineering, University of Waterloo, 200 University Avenue West, Waterloo, ON N2L 3G1, Canada."
"Holocene palaeoenvironmental evolution in the São Paulo State                 (Brazil), based on anthracology and soil δ13C analysis",journal-article,The Holocene,SAGE Publications,2003,0959-6836,,https://doi.org/10.1191/0959683603hl596rp,"Laboratory of Environmental Isotopes, University of Waterloo, Waterloo                         N2L 3G1, Ontario, Canada"
Formulas of dielectric and total attenuations of a microstrip line,journal-article,Radio Science,American Geophysical Union (AGU),2010,0048-6604,,https://doi.org/10.1029/2009rs004246,"Department of Electrical and Computer Engineering; University of Waterloo; Waterloo, Ontario; Canada"
